Province,Province_Abbr,Year,Month,YearMonth,Age_Group,Unemployment_Rate,Participation_Rate,FT_Employment,PT_Employment,Part_Time_Share,Nominal_Wage,CPI_Index,Real_Wage,Gender_Wage_Gap,FT_Wage_Premium,Youth_Pop_Share,Post2020,Stress_Index
Saskatchewan,SK,2016,10,2016-10,20-24,7.3,79.1,39.0,12.0,23.52941176470588,16.890658949888355,132.7,17.80180414192265,0.8658690014694503,1.2974872656593497,6.675937211579786,0,-0.6567965157586128
Saskatchewan,SK,2016,11,2016-11,20-24,10.5,75.3,34.8,12.1,25.79957356076759,16.894363907019347,131.7,17.940907963269154,0.866284081274592,1.2995348451365196,6.675937211579786,0,-0.23688086191753524
Saskatchewan,SK,2016,12,2016-12,20-24,8.9,76.4,35.8,12.5,25.87991718426501,16.897951111564375,131.4,17.98568705640442,0.8669311343822526,1.3014124413946286,6.675937211579786,0,-0.42992717909398276
Saskatchewan,SK,2017,1,2017-01,20-24,10.6,77.2,34.8,13.0,27.196652719665277,16.901304319821367,133.1,17.759491009238793,0.8678519864660671,1.303094400992544,6.556089652798054,0,-0.2923594916497451
Saskatchewan,SK,2017,2,2017-02,20-24,10.3,75.6,33.3,13.7,29.148936170212764,16.90430728808828,132.9,17.78937730223135,0.8690884631996755,1.3045550704891506,6.556089652798054,0,-0.2306577958428231
Saskatchewan,SK,2017,3,2017-03,20-24,10.3,72.9,31.3,14.0,30.90507726269316,16.90684377266308,133.0,17.7786691125692,0.8706823902567209,1.3057687964433289,6.556089652798054,0,-0.0735110277424712
Saskatchewan,SK,2017,4,2017-04,20-24,10.7,75.3,32.2,14.4,30.901287553648064,16.908797529843696,134.2,17.62173056031835,0.8726755933108328,1.3067099254139511,6.556089652798054,0,-0.14148763376341233
Saskatchewan,SK,2017,5,2017-05,20-24,10.7,83.4,39.9,11.7,22.674418604651166,16.910052315928088,133.9,17.662522281442687,0.875109898035654,1.3073528039598996,6.556089652798054,0,-0.6151149767377987
Saskatchewan,SK,2017,6,2017-06,20-24,8.5,86.3,42.7,11.9,21.794871794871796,16.910491887214206,133.9,17.662981412939757,0.878027130104831,1.3076717786400534,6.556089652798054,0,-0.944500261029883
Saskatchewan,SK,2017,7,2017-07,20-24,8.3,86.8,45.9,9.2,16.696914700544465,16.91,133.9,17.662467637540452,0.8814691151919867,1.307641196013289,6.556089652798054,0,-0.9878246127304554
Saskatchewan,SK,2017,8,2017-08,20-24,8.0,83.5,42.6,10.5,19.774011299435028,16.908495635766954,134.7,17.556006078636276,0.8854475210461118,1.3072454448101019,6.556089652798054,0,-0.7944744197288994
Saskatchewan,SK,2017,9,2017-09,20-24,8.3,76.3,35.9,12.3,25.518672199170123,16.906038676730663,134.9,17.527430634517586,0.8898533837175836,1.3065090824474472,6.556089652798054,0,-0.35313156809866747
Saskatchewan,SK,2017,10,2017-10,20-24,8.8,74.5,34.5,12.3,26.282051282051285,16.90272423029028,135.4,17.45928241980316,0.8945475813320877,1.305466708513903,6.556089652798054,0,-0.1958393397966798
Saskatchewan,SK,2017,11,2017-11,20-24,8.9,76.7,35.2,13.0,26.970954356846473,16.898647403844933,136.6,17.30173251456378,0.8993909920153453,1.3041529225980397,6.556089652798054,0,-0.2745010189952694
Saskatchewan,SK,2017,12,2017-12,20-24,10.9,77.5,33.4,14.3,29.979035639413,16.893903304793756,135.9,17.385968798402846,0.9042444938930797,1.3026023242884275,6.556089652798054,0,-0.1929870455605338
Saskatchewan,SK,2018,1,2018-01,20-24,11.9,76.0,30.2,15.9,34.490238611713664,16.8885870405359,136.4,17.316786186541663,0.9089689650909742,1.3008495131736475,6.410254192577473,0,-0.015461510016760771
Saskatchewan,SK,2018,2,2018-02,20-24,11.1,74.7,30.3,15.4,33.6980306345733,16.882793718470495,136.7,17.272855826450275,0.9134252837347518,1.2989290888422689,6.410254192577473,0,0.010573484473774744
Saskatchewan,SK,2018,3,2018-03,20-24,9.7,75.3,30.7,16.0,34.26124197002141,16.876618445996662,136.8,17.253916141518147,0.9174743279501328,1.2968756508828598,6.410254192577473,0,-0.12294026447567634
Saskatchewan,SK,2018,4,2018-04,20-24,10.2,75.7,31.0,15.5,33.33333333333333,16.87015633051357,137.5,17.159505072424803,0.9209769758628049,1.2947237988840046,6.410254192577473,0,-0.08486479051830594
Saskatchewan,SK,2018,5,2018-05,20-24,10.5,85.8,37.5,15.1,28.707224334600763,16.863502479420344,137.9,17.102982965440635,0.9237941055984896,1.292508132434271,6.410254192577473,0,-0.6260600988200822
Saskatchewan,SK,2018,6,2018-06,20-24,10.1,88.3,41.1,13.3,24.448529411764707,16.856752000116092,137.5,17.145870837451415,0.9257865952829012,1.2902632511222267,6.410254192577473,0,-0.8095928772653155
Saskatchewan,SK,2018,7,2018-07,20-24,8.4,86.5,41.9,12.2,22.550831792975973,16.85,138.0,17.076905193236712,0.9268153230417383,1.2880237545364566,6.410254192577473,0,-0.8154787609081903
Saskatchewan,SK,2018,8,2018-08,20-24,10.6,85.9,42.9,9.6,18.285714285714285,16.843443741292614,137.6,17.119883497463295,0.9267945342810432,1.28582056889261,6.410254192577473,0,-0.6286183310290104
