Province,Province_Abbr,Year,Unemployment_Rate,Participation_Rate,FT_Employment,PT_Employment,Part_Time_Share,Nominal_Wage,CPI_Index,Real_Wage,Post2020,Stress_Index
Alberta,AB,2015,8.533333333333333,82.59166666666667,161.73333333333332,48.6,23.106180665610147,17.99,133.725,19.24673272262728,0,-1.4546123888350826
Alberta,AB,2016,10.041666666666666,81.25,145.01666666666668,53.60833333333333,26.98972099853157,17.58,135.16666666666666,18.60748705302096,0,-0.9780442246635235
Alberta,AB,2017,10.25,81.375,137.70000000000002,57.949999999999996,29.619217991311015,17.55,137.25,18.29377049180328,0,-0.8924107992234918
Alberta,AB,2018,8.275,80.80833333333334,143.34166666666667,54.916666666666664,27.699550250094575,18.66,140.63333333333333,18.982867978193884,0,-1.1988754086039597
Alberta,AB,2019,8.366666666666667,82.18333333333334,139.89166666666668,62.88333333333333,31.011383717585172,19.44,143.06666666666666,19.44,0,-1.4713158186319444
Alberta,AB,2020,21.25,75.14999999999999,105.41666666666667,54.475,34.069943190702034,19.06,144.65833333333333,18.850284002534707,1,0.8298323744659181
Alberta,AB,2021,12.241666666666667,77.54166666666667,118.94166666666666,62.25833333333333,34.35890360559235,19.16,149.26666666666668,18.36416257257704,1,-0.2467299553117421
Alberta,AB,2022,8.991666666666667,79.43333333333334,126.36666666666667,67.15833333333333,34.70266546096542,19.49,158.92499999999998,17.54519007917781,1,-0.5957892223631404
Alberta,AB,2023,8.8,77.10000000000001,134.36666666666667,61.699999999999996,31.468888133287997,20.38,164.14166666666668,17.7633060872214,1,-0.3893361755639179
Alberta,AB,2024,9.966666666666667,81.18333333333334,144.98333333333332,74.54166666666667,33.95588961014312,20.88,168.90833333333333,17.685521732695246,1,-0.7436286913130985
British Columbia,BC,2015,8.691666666666666,76.27499999999999,143.35,71.2,33.185737590305294,15.06,120.18333333333334,16.465544307308278,0,0.028464538674607635
British Columbia,BC,2016,8.316666666666666,77.01666666666667,144.04166666666666,75.675,34.44208450276872,15.27,122.44166666666666,16.3872156809365,0,-0.07899218784012042
British Columbia,BC,2017,7.316666666666666,80.75,156.05833333333334,84.28333333333333,35.06813217294823,15.62,124.98333333333333,16.421933591145486,0,-0.6389334404019998
British Columbia,BC,2018,5.858333333333333,77.29166666666667,160.41666666666666,82.54166666666667,33.973589435774315,16.59,128.39166666666668,16.97871876419809,0,-0.5110398667584783
British Columbia,BC,2019,7.425,79.43333333333334,161.57500000000002,89.10000000000001,35.54403111598683,17.81,131.4,17.81,0,-0.8215468736332445
British Columbia,BC,2020,17.375,72.91666666666667,126.58333333333333,80.475,38.86585905743148,18.5,132.42499999999998,18.356805739097606,1,0.8320443208485653
British Columbia,BC,2021,11.049999999999999,76.75833333333334,144.20000000000002,80.86666666666666,35.93009478672985,19.37,136.13333333333333,18.696508325171404,1,-0.35727045569504434
British Columbia,BC,2022,7.608333333333333,79.2,148.16666666666666,89.33333333333333,37.614035087719294,20.41,145.48333333333332,18.434235307595376,1,-0.9332873871430141
British Columbia,BC,2023,7.55,79.69166666666666,160.06666666666666,85.77499999999999,34.89034270024745,21.28,151.23333333333332,18.489257218426275,1,-1.0124077485716745
British Columbia,BC,2024,8.308333333333334,77.48333333333333,161.45833333333334,96.86666666666667,37.497983805929216,22.66,155.16666666666666,19.189198711063373,1,-0.847148938557118
Manitoba,MB,2015,8.033333333333333,81.10000000000001,44.449999999999996,19.208333333333332,30.17410655845006,14.54,126.75833333333333,15.694711721780292,0,-0.42403257867166416
